,precision,recall,f1-score,support
0,0.9583333333333334,0.971830985915493,0.965034965034965,71.0
1,0.9523809523809523,0.9302325581395349,0.9411764705882352,43.0
accuracy,0.956140350877193,0.956140350877193,0.956140350877193,0.956140350877193
macro avg,0.9553571428571428,0.9510317720275139,0.9531057178116,114.0
weighted avg,0.9560881370091896,0.956140350877193,0.9560357083576897,114.0
